BEATR,Beatrice
BELLE,Bellevue East
BELLW,Bellevue West
COLUM,Columbus
FRMNT,Fremont
GRISL,Grand Island
HAST,Hastings
KEARN,Kearney
LE,Lincoln East
LH,Lincoln High
LNS,Lincoln North Star
LNE,Lincoln Northeast
LSE,Lincoln Southeast
LSW,Lincoln Southwest
MCCK,McCook
MILLN,Millard North
MILLS,Millard South
MILLW,Millard West
NRFLK,Norfolk
NPLTT,North Platte
OMBEN,Omaha Benson
OMBRK,Omaha Burke
OMCEN,Omaha Central
OMCRP,Omaha Creighton Prep
OMDUC,Omaha Duchesne Academy
OMMAR,Omaha Marian
OMNO,Omaha North
OMNW,Omaha Northwest
RONBT,Omaha Roncalli/Omaha B-T
OMSKU,Omaha Skutt Catholic
OMWE,Omaha Westside/Elkhorn
PLV,Papillion-LaVista
RALGR,Ralston/Omaha Gross
SBLF,Scottsbluff
SOSC,South Sioux City
