1	"A balk will be declared when the pitcher delivers a ball:"		A	"6-2-1a, g, h and 6-2-4f"
	A	"That is detected to have a foreign substance he applied to the ball."
	B	"While wearing a bandage on the index finger of his pitching hand."
	C	"While using a glove that included the color white."
	D	"When his entire non-pivot foot did not pass behind the perpendicular plane of the back edge of the pitcher's plate."
2	"A bat would be considered legal for the game:"		A	"1-3-5"
	A	"If it had a BBCOR certification mark."
	B	"If it only had a BESR certification mark."
	C	"If the temperature of the bat had been artificially controlled."
	D	"If it had been altered from the manufacturer's original design and production."
3	"A batted ball is judged to be fair when the ball:"		C	"2-5-1e, 2-16-1c, d"
	A	"Lands on fair ground after touching a player who was over foul ground."
	B	"First falls on foul ground past third base, but settles on fair territory."
	C	"Touches first, second or third base."
	D	"As a ground ball touches a bat resting on foul ground and rebounds into fair territory."
4	"A batter who has received a base on balls may be first granted "time" before he goes to first base."		B	"2-4-2"
	A	"True."
	B	"False."
5	"A dead-ball appeal may be made by:"		D	"8-2-5 Penalty"
	A	"A coach."
	B	"A defensive player with or without the ball."
	C	"A dead-ball appeal is not possible by rule."
	D	"Both A & B."
6	"A defensive appeal of a runner failing to touch a base or not properly tagging up is not considered to be a play."		A	"2-29-6"
	A	"True."
	B	"False."
7	"A batter is declared out when:"		D	"7-4-1"
	A	"The third-base coach interferes with the third baseman attempting to field a foul fly ball."
	B	"He enters the batter's box with an illegal bat."
	C	"An attempted bunt on the third strike is foul."
	D	"All of the above."
8	"A batter may leave the batter's box with no penalty when:"		D	"7-3-1"
	A	"The pitcher attempts a pickoff."
	B	""Time" is granted to either team."
	C	"The catcher leaves the catcher's box to give defensive signals."
	D	"All of the above."
9	"A defensive conference, held at the pitcher's mound, is concluded when:"		D	"3-4-3"
	A	"The coach leaves the dirt area of the mound."
	B	"The infielders leave to go to their positions."
	C	"A minute has elapsed."
	D	"The coach crosses the foul line."
10	"A doubleheader is defined as:"		B	"4-1-1, 4-2-2b"
	A	"Two seven-inning games in a day involving different teams."
	B	"Two seven-inning games between the same teams during the same day."
	C	"A five-inning game and a seven-inning game between the same teams."
	D	"All of the above."
11	"A fielder who catches a ball and whose initial momentum carries him several more yards after which the ball drops from his glove has not made a catch."		A	"2-9-1"
	A	"True."
	B	"False."
12	"A foul tip is a batted ball that goes directly to the catcher's hands and is legally caught by;"		A	"2-16-2"
	A	"The catcher."
	B	"Any infielder."
13	"A pitch dropped during a delivery with the bases empty is:"		D	"6-1-4"
	A	"An illegal pitch."
	B	"A ball if it crosses the foul line."
	C	"A dead ball and declared a no pitch if it stops prior to crossing the foul line."
	D	"B & C."
14	"A pitcher may turn his shoulders to check runners while in contact with the pitcher's plate and in the:"		B	"6-1-1"
	A	"Windup position."
	B	"Set position."
	C	"Both A & B."
	D	"Neither A nor B.  It is always illegal for a pitcher to turn his shoulders to check a runner."
15	"A player who was removed from the game for exhibiting signs or symptoms consistent with a concussion:"		C	"3-1-5"
	A	"May never return to play that day."
	B	"May not return to play in that specific game."
	C	"May return to play if cleared by an appropriate health-care professional."
	D	"May return to play without being cleared if he has sat for an inning."
16	"A runner is awarded one base when:"		C	"8-3-3d,f"
	A	"A foul fly is caught by the left fielder who then leaves the field of play by stepping with both feet into a dead-ball area."
	B	"Attempting to advance at the time a ball becomes lodged in an offensive player's uniform or equipment."
	C	"Both A & B."
	D	"Neither A nor B."
17	"A runner who misses a base while advancing may not return to touch it after a following runner has scored."		A	"8-2-3"
	A	"True."
	B	"False."
18	"A team reduced to playing with eight players cannot later return to playing with nine."		B	"4-4-1 Note 2"
	A	"True."
	B	"False."
